,id,screen_name,followers_count,name,friends_count
0,600309761,WongTime90,159,JWong,137
1,8519682,paulhelmick,35114,Paul Helmick,7421
2,457179140,TiffanyERoberts,2839,Tiffany E. Roberts,507
3,23330822,angiejusino,1649,Angie Collier,825
4,109051912,jeansmartin,134,Jean Sutton Martin,169
5,34340872,COSTABASS,291,Daniel Costa,537
6,618528780,TheDefeaters,920,The Defeaters,1685
7,12,jack,4088145,jack,3725
8,382992398,_itsDurayyyyy,2324,"most hated, most watched 👑💅🏾",1975
9,18350095,Livelifefree33,342,Mattyice,331
10,50331664,mpetitpas,2630,Marc Petitpas,3779
11,438829068,Buschbros1851,183,Dustin Roberts,576
12,379453462,IAMGENSU,821,Gensu,773
13,503185431,Colie0615,192,Nicole,635
14,351797273,DrexelMedicine,2495,Drexel Medicine,640
15,440795164,DankDanBoi,668,Daniel Knight,527
16,20709405,KimbrlyKrautter,2773,Kimberly Krautter,2996
17,174456862,SP2525,289,Steve Perone,332
18,182714398,frankiezaddyy,700,Much Better,410
19,24772641,The_Midge,525,Ashley C,287
20,392429601,s_hanc0ck,250,StephH,370
21,103284770,BillTheHobbyist,1968,Bill Snyder,208
22,81920034,tcs228,1040,Todd C. Sullivan,1013
23,189923365,ImGonMakeItNbd,135,KeepinIt_100,129
24,619184166,Chase_xoxo,242,Chasie Kearney,206
25,47,kellan,11941,kellan 🌊,1428
26,429391920,Breeboo95,170,Briana Marie,158
27,17301552,lkoritkoski,668,Linda Koritkoski,1135
28,108920878,DAtTattedSinger,1765,Charlie Manson,1974
29,94634037,RoanokeFireEMS,3799,Roanoke Fire-EMS,98
30,89260086,ShainaQF,330,Shayy,358
31,511442999,JARRODvsBOOTSIE,610,Go Hard DuBose,788
32,248774714,GR8socialmedia,16954,GR8socialmedia,6887
33,16908347,TonyCaridi,54260,TonyCaridi,309
34,46006331,BryanVoltaggio,266242,BRYAN VOLTAGGIO,977
35,61,dan,12453,Dan,118
36,475922496,WCNCvote,2343,WCNC Politics,1826
37,21495874,shyguyshawn,26404,shyguy shawn,543
38,8257602,thegvlreader,741,brooke carman,532
39,541982789,JanillaVanilla,1020,Janill,2635
40,44957769,TourismKingston,5738,Tourism Kingston,924
41,108396618,RedBoneMermaid,2177,IG:@RedboneMermaid,1390
42,1048651,jenbee,13191,Jen Bekman,3111
43,472383567,pfvrdrew,9702,lucas,5676
44,479723600,carlamarlenee,1060,c,471
45,8388692,lclarke522,1508,Lisa Clarke,639
46,40894553,MentalHealthAm,286284,Mental Health America,2369
47,273940570,wafflecabin,3126,Waffle Cabin,131
48,17432667,Daveh787,1356,Dave Holland,79
49,334757979,LoyolaVB,1038,Loyola Volleyball,145
50,191889499,sapphicfruit,2311,𝘤𝘢𝘯𝘥𝘢𝘤𝘦 🥥,64
51,26607712,MattLaslo,13757,Matt Laslo,3831
52,35127398,Macrame_Queen,657,Robyn Sparkles,1553
53,49021031,terri_georgia,41090,Terri Harvey,36877
54,151257190,_toltequita_,1950,Cosmo,1754
55,16515180,teamluis,1114,Luis Sandoval,316
56,15335534,jimgeraghty,90848,Jim Geraghty,959
57,27787375,NeonAsterisk,265,Kati Sorensen-Young,539
58,29491308,phillydesign,6734,Danya Henninger,697
59,94371951,MomieLady,613,Angela,1197
60,227278965,FirstNameMballa,1353,M8alla,1123
61,220725366,UnionUSA,1085,Angela Cristiani,787
62,15466615,rwesthead,15143,Rick Westhead,605
63,7995512,katyaandresen,15112,Katya Andresen,3032
64,279707770,Beartrax0831,50,Barry,204
65,22899361,DJChoz,29303,ChozFace Killah,2
66,57540732,Curban11,154,Connor Urban,201
67,325189758,SirDevin211,499,Devin Schleimer,476
68,865730690,gracekkgill,248,Grace Gill,262
69,14155907,jelani9,176634,jelani cobb,1556
70,484835464,ElliotJohnson9,16681,Elliot Johnson,1525
71,123338889,BostonCares,4025,Boston Cares,1374
72,265552009,flowurari,588,sarah,518
73,33423501,N0TH1S1SP4TR1CK,3669,Patrick Lehmann,4637
74,191627407,Jose_Beernez,322,Joey Byrne,798
75,17170578,MegBiallas,1888,Meg Biallas Henry,3120
76,57671829,IAWomenHQ,16137,IAW,2038
77,346292375,rickmccabe22,421,Rick,447
78,2621591,paullyoung,11947,Paull Young,7937
79,378405017,TheyLoveKendaia,651,Flawless,997
80,84672669,HbgGreenbelt,488,CAGA,80
81,287834270,MikeFish1,382,Mike Fish,548
82,397017245,Ms_Dani_Mani,64,♀,63
83,68288673,vinochic,1372,Melissa F.,2258
84,8388772,stills,708,Andrew StiIIman,569
85,46530728,jencausey,4608,Jen Causey,189
86,16515241,AnneWeiskopf,3539,Anne Weiskopf,3327
