Source,Target
rickreichmuth,wunderground
WilliamHC3,alliemahler
WilliamHC3,BeSocialChange
dbe928,AP
JulieFromCinci,MaraWritesStuff
JulieFromCinci,realDonaldTrump
USCG,nycarecs
juliebryantHB,nycarecs
swbizcom,gawker
kathy_morlock,XNEFinancial
AsheeliaRose,vintagejohnny
ljoywilliams,baratunde
pisicutii,KenWahl1
TimBEastman,baratunde
SaraBCaldwell,NYGovCuomo
Robertm51785,BrittMcHenry
Robertm51785,NewYorkPost
juliebryantHB,twc_hurricane
juliebryantHB,WellsFargo
WELLinTHIShouse,nationalgridus
MeiMeiFox,renesugar
Btyfuldisastr,charliebrowncb
MeiMeiFox,renesugar
juliebryantHB,nycarecs
juliebryantHB,nycarecs
doschain98,LUIS_CASTRO_NYC
LoHudLegal,NYGovCuomo
Lev_Davidovitch,ElBloombito
MollySullivanTV,JoshElliottABC
MollySullivanTV,Matt_Ginella
ProtectingParks,newyorkcityliz
dbe928,NewYorkPost
dbe928,isardasorensen
pressconnects,nationalgridus
mhess4,AnthonyQuintano
mhess4,NBCNews
PoliticalBee,vallie
TimBEastman,BklynBeauty_718
DrRickKnabb,CraigatFEMA
becuhh,NBCNews
CarolynSGardner,quirkytraveller
CarolynSGardner,NewYorker
LoHudLegal,LoHud
DrRickKnabb,NWSAlbany
DrRickKnabb,FEMAregion3
DrRickKnabb,femaregion2
DrRickKnabb,FEMA
fleejack,TMODOM
fleejack,TimeOutNewYork
NWS,femaregion5
NWS,femaregion2
NWS,FEMA
annemai,girluninterrupt
adam_zander,Honey17011
MeiMeiFox,KIRANCreates
MeiMeiFox,renesugar
YtownPhantoms,bart_logan
YtownPhantoms,jimmymazza
DustinSlaughter,robert3242
JadeFloydDC,emilystanitz
HungerProject,thp
AIR_MEDICAL,femaregion2
AIR_MEDICAL,MTAInsider
ethanklapper,HuffingtonPost
pressconnects,NWSNewYorkNY
MeiMeiFox,KIRANCreates
MeiMeiFox,BuzzEdition
MeiMeiFox,renesugar
MeiMeiFox,meimeifox
tesscobrien,solaronenyc
DrRickKnabb,NWSNewYorkNY
dbe928,Rradiodh
ebrookes,AC360
11AliveNews,MikeFrancisWX
